icd10_code	icd10_phe
Z9714	Presence of artificial left leg (complete) (partial)
E59	Dietary selenium deficiency
M65359	Trigger finger, unspecified little finger
E221	Hyperprolactinemia
L0301	Cellulitis of finger
M47899	Other spondylosis, site unspecified
T2000	Burn of unspecified degree of head, face, and neck, unspecified site
I63519	Cerebral infarction due to unspecified occlusion or stenosis of unspecified middle cerebral artery
K710	Toxic liver disease with cholestasis
O2681	Pregnancy related exhaustion and fatigue
M89069	Algoneurodystrophy, unspecified lower leg
O2211	Genital varices in pregnancy, first trimester
D270	Benign neoplasm of right ovary
C910	Acute lymphoblastic leukemia [ALL]
J9581	Postprocedural pneumothorax and air leak
Q40	Other congenital malformations of upper alimentary tract
S31651	Open bite of abdominal wall, left upper quadrant with penetration into peritoneal cavity
F192	Other psychoactive substance dependence
Z30011	Encounter for initial prescription of contraceptive pills
M79672	Pain in left foot
S24141	Brown-Sequard syndrome at T1 level of thoracic spinal cord
W409	Explosion of unspecified explosive materials
V765	Driver of bus injured in collision with other nonmotor vehicle in traffic accident
H6119	Other noninfective disorders of pinna
M70962	Unspecified soft tissue disorder related to use, overuse and pressure, left lower leg
H185	Hereditary corneal dystrophies
M25372	Other instability, left ankle
Z4002	Encounter for prophylactic removal of ovary(s)
V02131	Pedestrian on standing electric scooter injured in collision with two- or three-wheeled motor vehicle in traffic accident
M216X9	Other acquired deformities of unspecified foot
O35F	Maternal care for other (suspected) fetal abnormality and damage, fetal musculoskeletal anomalies of trunk
S23163	Dislocation of T11/T12 thoracic vertebra
T473X	Poisoning by and adverse effect of saline and osmotic laxatives
M4301	Spondylolysis, occipito-atlanto-axial region
M25569	Pain in unspecified knee
M6501	Abscess of tendon sheath, shoulder
T2330	Burn of third degree of hand, unspecified site
M3319	Other dermatomyositis with other organ involvement
M8784	Other osteonecrosis, hand and fingers
V352	Person on outside of three-wheeled motor vehicle injured in collision with railway train or railway vehicle in nontraffic accident
Z85020	Personal history of malignant carcinoid tumor of stomach
Q845	Enlarged and hypertrophic nails
S3246	Associated transverse-posterior fracture of acetabulum
F18951	Inhalant use, unspecified with inhalant-induced psychotic disorder with hallucinations
K51812	Other ulcerative colitis with intestinal obstruction
Z62832	Non-relative guardian-child conflict
N411	Chronic prostatitis
Y07040	Female partner, current, perpetrator of maltreatment and neglect
Q7142	Longitudinal reduction defect of left radius
C261	Malignant neoplasm of spleen
C6991	Malignant neoplasm of unspecified site of right eye
I688	Other cerebrovascular disorders in diseases classified elsewhere
S5237	Galeazzi's fracture
H211X	Other vascular disorders of iris and ciliary body
O2929	Other central nervous system complications of anesthesia during pregnancy
D57418	Sickle-cell thalassemia, unspecified, with crisis with other specified complication
E329	Disease of thymus, unspecified
O644	Obstructed labor due to shoulder presentation
P012	Newborn affected by oligohydramnios
S3706	Major laceration of kidney
I69398	Other sequelae of cerebral infarction
V9018	Drowning and submersion due to other unpowered watercraft sinking
E89820	Postprocedural hematoma of an endocrine system organ or structure following an endocrine system procedure
J0391	Acute recurrent tonsillitis, unspecified
S72113	Displaced fracture of greater trochanter of unspecified femur
E053	Thyrotoxicosis from ectopic thyroid tissue
T2113	Burn of first degree of upper back
S468	Injury of other muscles, fascia and tendons at shoulder and upper arm level
W3302	Accidental discharge of hunting rifle
M45A8	Non-radiographic axial spondyloarthritis of sacral and sacrococcygeal region
M96622	Fracture of humerus following insertion of orthopedic implant, joint prosthesis, or bone plate, left arm
S53096	Other dislocation of unspecified radial head
Q7022	Fused toes, left foot
T63714	Toxic effect of contact with venomous marine plant, undetermined
O88011	Air embolism in pregnancy, first trimester
I70468	Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, other extremity
S52592	Other fractures of lower end of left radius
M9272	Juvenile osteochondrosis of metatarsus, left foot
A009	Cholera, unspecified
D03111	Melanoma in situ of right upper eyelid, including canthus
V01038	Pedestrian on other standing micro-mobility pedestrian conveyance injured in collision with pedal cycle in nontraffic accident
M12819	Other specific arthropathies, not elsewhere classified, unspecified shoulder
B582	Toxoplasma meningoencephalitis
S85012	Laceration of popliteal artery, left leg
T8690	Unspecified complication of unspecified transplanted organ and tissue
H0441	Chronic dacryocystitis
Q223	Other congenital malformations of pulmonary valve
B889	Infestation, unspecified
L688	Other hypertrichosis
S46312	Strain of muscle, fascia and tendon of triceps, left arm
M5450	Low back pain, unspecified
Z9884	Bariatric surgery status
R290	Tetany
T2532	Burn of third degree of foot
T2106	Burn of unspecified degree of male genital region
T531X4	Toxic effect of chloroform, undetermined
S529	Unspecified fracture of forearm
S59909	Unspecified injury of unspecified elbow
M1046	Other secondary gout, knee
E854	Organ-limited amyloidosis
S93621	Sprain of tarsometatarsal ligament of right foot
Q6581	Congenital coxa valga
M23039	Cystic meniscus, other medial meniscus, unspecified knee
H18739	Descemetocele, unspecified eye
M9386	Other specified osteochondropathies lower leg
T3211	Corrosions involving 10-19% of body surface with 10-19% third degree corrosion
Y95	Nosocomial condition
A415	Sepsis due to other Gram-negative organisms
S068A1	Primary blast injury of brain, not elsewhere classified with loss of consciousness of 30 minutes or less
S99232	Salter-Harris Type III physeal fracture of phalanx of left toe
L97412	Non-pressure chronic ulcer of right heel and midfoot with fat layer exposed
S42136	Nondisplaced fracture of coracoid process, unspecified shoulder
E1021	Type 1 diabetes mellitus with diabetic nephropathy
M2576	Osteophyte, knee
R1907	Generalized intra-abdominal and pelvic swelling, mass and lump
T22721	Corrosion of third degree of right elbow
H05042	Tenonitis of left orbit
M89571	Osteolysis, right ankle and foot
T371X5	Adverse effect of antimycobacterial drugs
T45695	Adverse effect of other fibrinolysis-affecting drugs
H40133	Pigmentary glaucoma, bilateral
S35319	Unspecified injury of portal vein
F13950	Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions
S42291	Other displaced fracture of upper end of right humerus
S70352	Superficial foreign body, left thigh
O29112	Cardiac arrest due to anesthesia during pregnancy, second trimester
O441	Complete placenta previa with hemorrhage
M89561	Osteolysis, right lower leg
H4732	Drusen of optic disc
S50841	External constriction of right forearm
S91059	Open bite, unspecified ankle
T82520	Displacement of surgically created arteriovenous fistula
R911	Solitary pulmonary nodule
S75219	Minor laceration of greater saphenous vein at hip and thigh level, unspecified leg
A831	Western equine encephalitis
M0503	Felty's syndrome, wrist
T618	Toxic effect of other seafood
K0530	Chronic periodontitis, unspecified
M765	Patellar tendinitis
E0822	Diabetes mellitus due to underlying condition with diabetic chronic kidney disease
Q749	Unspecified congenital malformation of limb(s)
T513X	Toxic effect of fusel oil
G8334	Monoplegia, unspecified affecting left nondominant side
I82B11	Acute embolism and thrombosis of right subclavian vein
T3121	Burns involving 20-29% of body surface with 10-19% third degree burns
M1A459	Other secondary chronic gout, unspecified hip
S25891	Other specified injury of other blood vessels of thorax, right side
M06212	Rheumatoid bursitis, left shoulder
P9188	Other specified disturbances of cerebral status of newborn
S72433	Displaced fracture of medial condyle of unspecified femur
H18891	Other specified disorders of cornea, right eye
S06818	Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of any duration with death due to other cause prior to regaining consciousness
O290	Pulmonary complications of anesthesia during pregnancy
P91822	Neonatal cerebral infarction, left side of brain
S22029	Unspecified fracture of second thoracic vertebra
S90934	Unspecified superficial injury of right lesser toe(s)
R579	Shock, unspecified
H812	Vestibular neuronitis
T48292	Poisoning by other drugs acting on muscles, intentional self-harm
D649	Anemia, unspecified
S63641	Sprain of metacarpophalangeal joint of right thumb
I423	Endomyocardial (eosinophilic) disease
M90622	Osteitis deformans in neoplastic diseases, left upper arm
S0105	Open bite of scalp
S8086	Insect bite (nonvenomous) of lower leg
C6300	Malignant neoplasm of unspecified epididymis
C838A	Other non-follicular lymphoma, in remission
L89502	Pressure ulcer of unspecified ankle, stage 2
N07A	Hereditary nephropathy, not elsewhere classified with C3 glomerulonephritis
R8281	Pyuria
S63658	Sprain of metacarpophalangeal joint of other finger
Z1613	Resistance to carbapenem
M95	Other acquired deformities of musculoskeletal system and connective tissue
M61549	Other ossification of muscle, unspecified hand
T81329	Deep disruption or dehiscence of operation wound, unspecified
N038	Chronic nephritic syndrome with other morphologic changes
M310	Hypersensitivity angiitis
S50879	Other superficial bite of unspecified forearm
G830	Diplegia of upper limbs
M79639	Pain in unspecified forearm
T2223	Burn of second degree of upper arm
I70428	Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, other extremity
T44901	Poisoning by unspecified drugs primarily affecting the autonomic nervous system, accidental (unintentional)
V2919	Motorcycle passenger injured in collision with other motor vehicles in nontraffic accident
H31001	Unspecified chorioretinal scars, right eye
M1022	Drug-induced gout, elbow
Y380X1	Terrorism involving explosion of marine weapons, public safety official injured
I70591	Other atherosclerosis of nonautologous biological bypass graft(s) of the extremities, right leg
S3413	Other and unspecified injury to sacral spinal cord
H31	Other disorders of choroid
V9541	Spacecraft crash injuring occupant
Y92143	Cell of prison as the place of occurrence of the external cause
A0109	Typhoid fever with other complications
K9171	Accidental puncture and laceration of a digestive system organ or structure during a digestive system procedure
S95819	Laceration of other blood vessels at ankle and foot level, unspecified leg
N482	Other inflammatory disorders of penis
H740	Tympanosclerosis
T513X3	Toxic effect of fusel oil, assault
Y36591	War operation involving other effects of nuclear weapons, civilian
